Process Industries,Chemicals: Specialty,688300,联瑞新材,69.31,67.90,69.31,69.31,75.18,66.05,65.91,61.19,61.02,54.57,54.50,13.72,10.90,5.92,17.96,-31.86,True,False,2237.20
Electronic Technology,Electronic Components,300802,矩子科技,44.17,42.85,43.49,43.41,49.14,40.20,40.03,37.30,37.22,36.44,36.43,16.84,11.37,7.28,12.15,-17.38,True,False,7.28
Process Industries,Industrial Specialties,603688,石英股份,32.45,31.42,31.79,31.72,35.67,27.93,27.73,23.17,23.02,21.50,21.44,16.89,11.93,7.25,14.82,-28.95,True,False,4.90
Producer Manufacturing,Metal Fabrication,002553,南方轴承,12.18,12.48,13.26,13.37,15.43,12.14,12.12,11.16,11.16,10.86,10.83,7.91,6.84,7.02,8.58,-181.92,True,False,-3.02
Producer Manufacturing,Auto Parts: OEM,600418,江淮汽车,15.41,15.84,16.76,16.90,20.14,14.79,14.67,11.82,11.75,10.93,10.89,8.72,8.17,7.51,9.84,-141.91,True,False,-3.52
Finance,Real Estate Development,600641,万业企业,21.44,21.34,22.72,22.86,26.65,20.70,20.59,17.52,17.44,16.95,16.93,9.52,9.10,6.98,15.38,-145.10,True,False,-4.06
Producer Manufacturing,Industrial Machinery,688101,三达膜,20.41,20.35,21.66,21.79,25.70,20.35,20.28,18.20,18.16,17.82,17.83,9.03,6.25,5.71,5.80,-102.57,True,False,-4.24
Electronic Technology,Electronic Production Equipment,002845,同兴达,33.08,33.75,34.30,34.42,38.31,30.87,30.70,28.06,27.98,27.83,27.83,15.87,14.15,11.21,13.50,-158.65,True,False,-4.30
Electronic Technology,Electronic Production Equipment,300820,英杰电气,67.30,69.93,71.16,71.57,84.14,64.74,64.20,52.27,52.00,50.31,50.29,11.43,10.82,10.36,12.48,-118.09,True,False,-4.36
Electronic Technology,Electronic Components,002860,星帅尔,17.97,17.97,18.60,18.67,20.73,17.79,17.77,17.00,16.98,15.92,15.90,10.52,10.03,7.44,13.39,-103.09,True,False,-4.38
Process Industries,Textiles,600295,鄂尔多斯,22.25,21.93,22.84,22.90,25.14,21.31,21.28,20.04,19.98,16.54,16.47,14.96,13.43,9.46,15.89,-99.18,True,False,-4.92
Electronic Technology,Computer Peripherals,000938,紫光股份,25.61,25.02,26.61,26.71,30.60,25.05,24.99,22.26,22.20,21.94,21.93,12.83,12.14,10.13,11.58,-81.07,True,False,-5.01
Non-Energy Minerals,Other Metals/Minerals,600549,厦门钨业,26.65,26.38,27.56,27.66,31.23,25.40,25.28,22.19,22.11,19.67,19.61,11.39,7.80,7.48,8.80,-100.84,True,False,-5.01
Electronic Technology,Computer Communications,603386,广东骏亚,19.85,19.75,20.60,20.68,23.73,19.52,19.49,18.12,18.08,17.07,17.06,9.95,9.27,6.84,13.15,-86.91,True,False,-5.14
Electronic Technology,Electronic Production Equipment,688595,芯海科技,105.06,106.62,110.18,110.72,136.52,100.92,100.44,80.89,80.33,72.83,72.62,9.03,7.50,6.44,6.59,-95.53,True,False,-6.15
Process Industries,Chemicals: Specialty,002091,江苏国泰,12.25,12.14,12.54,12.57,14.20,11.43,11.36,9.27,9.22,8.03,8.01,17.98,12.82,11.36,14.69,-46.51,True,False,-6.81
Electronic Technology,Electronic Equipment/Instruments,600392,盛和资源,23.40,22.82,24.11,24.18,28.34,21.71,21.58,19.26,19.18,16.07,15.99,13.40,12.75,10.03,19.23,-54.09,True,False,-6.98
Electronic Technology,Telecommunications Equipment,300638,广和通,52.71,51.86,53.78,53.89,60.86,49.52,49.24,41.30,41.06,37.79,37.72,16.80,13.15,9.06,12.09,-94.76,True,False,-7.62
Energy Minerals,Coal,600188,兖州煤业,16.76,16.66,17.05,17.08,18.99,16.33,16.29,15.12,15.08,12.77,12.74,19.00,15.48,13.53,20.90,-54.70,True,False,-7.78
Producer Manufacturing,Industrial Machinery,688558,国盛智科,41.00,38.87,41.40,41.44,48.30,40.25,40.20,38.74,38.69,34.80,34.75,16.16,11.31,7.19,8.67,-40.76,True,False,-18.22
Process Industries,Chemicals: Specialty,300522,世名科技,20.95,20.57,21.11,21.12,24.28,19.43,19.35,19.37,19.36,18.42,18.41,16.21,13.17,10.27,14.07,-53.06,True,False,-21.38
