Process Industries,Textiles,603225,新凤鸣,12.17,11.89,12.14,12.13,13.59,11.32,11.29,11.21,11.19,10.87,10.86,9.93,6.56,3.36,9.30,-54.23,True,False,44.63
Non-Energy Minerals,Steel,600019,宝钢股份,6.16,5.92,6.15,6.14,6.64,5.78,5.76,5.39,5.38,5.15,5.14,17.35,13.43,8.22,12.30,-54.32,True,False,34.24
Energy Minerals,Coal,600508,上海能源,9.56,9.46,9.46,9.45,9.99,9.17,9.16,9.04,9.04,8.65,8.65,19.79,18.26,16.24,22.09,6.63,True,False,4.39
Producer Manufacturing,Industrial Machinery,603319,湘油泵,44.89,41.85,43.34,43.18,48.27,40.27,40.04,34.74,34.52,27.70,27.57,15.64,12.35,8.62,12.47,25.44,True,False,2.18
Producer Manufacturing,Auto Parts: OEM,600507,方大特钢,6.76,6.76,7.11,7.14,8.12,6.51,6.48,6.10,6.09,5.80,5.79,2.19,2.19,1.01,2.92,-130.26,True,False,-3.92
Producer Manufacturing,Auto Parts: OEM,603348,文灿股份,28.48,28.45,30.25,30.44,35.71,28.32,28.23,25.31,25.22,22.20,22.18,5.66,5.16,3.77,5.16,-114.75,True,False,-4.08
Consumer Durables,Automotive Aftermarket,600660,福耀玻璃,38.42,37.76,39.22,39.30,42.21,36.98,36.89,32.87,32.72,26.90,26.83,11.22,8.46,5.28,8.77,-114.80,True,False,-4.74
Electronic Technology,Electronic Production Equipment,002925,盈趣科技,64.17,62.91,65.56,65.71,71.78,64.10,64.05,61.44,61.47,58.37,58.35,8.78,6.05,2.08,7.75,-86.09,True,False,-5.46
Producer Manufacturing,Industrial Machinery,002158,汉钟精机,14.07,13.73,14.41,14.44,16.04,14.02,13.99,13.77,13.77,13.27,13.24,11.61,10.24,7.31,10.36,-75.29,True,False,-5.85
Process Industries,Pulp & Paper,600308,华泰股份,5.39,5.35,5.43,5.43,5.83,5.30,5.30,5.24,5.24,4.86,4.85,8.85,7.12,5.73,7.44,-65.60,True,False,-11.13
