Producer Manufacturing,Electrical Products,002927,泰永长征,14.16,13.93,14.10,14.10,15.49,12.80,12.73,11.86,11.82,11.60,11.57,17.15,15.52,13.37,16.00,-57.37,True,False,23.88
Consumer Durables,Electronics/Appliances,300847,中船汉光,19.51,18.76,19.37,19.36,22.44,18.25,18.21,16.25,16.17,14.42,14.38,14.70,9.86,8.40,8.95,-47.00,True,False,21.09
Commercial Services,Miscellaneous Commercial Services,300071,福石控股,5.27,5.11,5.19,5.18,6.34,4.62,4.59,4.17,4.15,3.68,3.66,12.86,6.83,5.34,7.12,-55.03,True,False,12.94
Commercial Services,Miscellaneous Commercial Services,003032,传智教育,18.57,18.18,18.42,18.40,20.06,17.86,17.84,16.90,16.85,15.78,15.76,13.89,10.32,7.96,10.96,-66.92,True,False,9.99
Commercial Services,Commercial Printing/Forms,002836,新宏泽,10.71,10.64,10.66,10.65,11.11,10.27,10.25,10.02,9.99,9.15,9.13,19.05,18.77,17.30,21.56,-65.24,True,False,7.72
Electronic Technology,Electronic Equipment/Instruments,002184,海得控制,15.59,15.23,15.41,15.39,16.91,14.52,14.45,12.92,12.87,12.26,12.22,19.87,14.42,12.63,13.07,-40.65,True,False,7.46
Producer Manufacturing,Industrial Machinery,603066,音飞储存,11.70,11.56,11.57,11.56,12.51,11.15,11.11,10.14,10.12,10.09,10.08,15.63,13.88,12.79,14.78,-20.31,True,False,6.18
Electronic Technology,Computer Peripherals,300689,澄天伟业,20.58,20.06,20.17,20.13,21.61,18.89,18.81,18.19,18.14,17.72,17.69,16.97,11.85,8.37,12.75,-54.54,True,False,2.54
Technology Services,Packaged Software,300520,科大国创,24.50,22.86,22.91,22.75,27.85,19.47,19.31,18.41,18.33,17.94,17.89,15.17,13.28,7.49,19.84,9.55,True,False,2.11
Producer Manufacturing,Industrial Machinery,300838,浙江力诺,18.34,18.01,17.95,17.91,18.90,17.12,17.09,16.27,16.22,15.79,15.77,19.39,16.04,12.81,17.97,23.50,True,False,1.45
Technology Services,Data Processing Services,688228,开普云,46.97,44.48,43.90,43.58,50.58,38.66,38.40,36.21,36.03,33.75,33.66,18.10,9.30,7.12,8.20,21.29,True,False,1.18
Communications,Specialty Telecommunications,300612,宣亚国际,22.03,20.21,20.82,20.69,23.15,19.55,19.48,19.09,19.03,18.56,18.53,19.94,9.59,4.98,5.44,4.05,True,False,0.93
Consumer Durables,Motor Vehicles,000913,钱江摩托,25.17,26.17,26.05,26.15,27.95,23.55,23.44,22.47,22.48,21.21,21.14,15.67,14.84,12.84,17.36,-214.43,True,False,-3.15
Health Services,Medical/Nursing Services,688315,诺禾致源,31.22,31.50,32.27,32.39,35.22,31.16,31.10,28.89,28.81,27.84,27.79,11.24,10.32,10.42,11.17,-107.80,True,False,-3.80
Electronic Technology,Electronic Components,300408,三环集团,32.12,31.86,32.51,32.55,33.59,32.04,32.00,30.46,30.39,29.28,29.26,16.18,12.18,10.85,13.53,-111.02,True,False,-3.80
Consumer Non-Durables,Beverages: Alcoholic,200596,古井贡Ｂ,135.00,135.00,137.03,137.24,142.87,132.17,131.84,120.47,120.30,119.48,119.34,14.56,14.09,13.89,19.42,-129.91,True,False,-3.88
Producer Manufacturing,Metal Fabrication,002937,兴瑞科技,26.93,26.88,27.50,27.56,29.96,26.09,25.99,24.87,24.79,21.84,21.77,11.28,10.03,9.10,10.90,-97.58,True,False,-5.33
Consumer Durables,Motor Vehicles,603529,爱玛科技,58.11,57.83,58.86,58.94,62.54,55.11,54.88,55.07,55.02,53.02,52.91,19.84,15.90,13.31,17.31,-105.45,True,False,-5.92
Electronic Technology,Computer Peripherals,300054,鼎龙股份,22.32,22.06,22.51,22.53,23.61,22.24,22.25,21.87,21.90,21.70,21.67,15.49,11.87,8.69,11.62,-101.89,True,False,-6.65
Technology Services,Packaged Software,688201,信安世纪,59.66,57.20,60.50,60.59,68.06,59.30,59.19,55.81,55.61,44.94,44.80,16.34,13.52,12.32,12.38,-75.05,True,False,-9.99
Producer Manufacturing,Industrial Machinery,688257,新锐股份,40.53,39.94,40.71,40.73,42.73,39.72,39.69,37.82,37.73,37.79,37.76,14.60,12.35,10.06,15.65,-102.41,True,False,-11.95
Health Technology,Biotechnology,002422,科伦药业,28.62,28.87,28.76,28.78,30.31,27.34,27.24,25.66,25.59,22.82,22.77,18.65,16.13,15.53,16.90,-86.62,True,False,-12.03
Producer Manufacturing,Metal Fabrication,688190,云路股份,89.07,86.39,89.48,89.52,96.27,88.28,88.18,87.80,87.72,84.95,84.81,17.39,11.91,9.59,10.23,-85.97,True,False,-17.64
Health Technology,Pharmaceuticals: Major,603079,圣达生物,13.88,13.86,13.89,13.89,14.38,13.48,13.49,13.44,13.43,13.32,13.31,16.44,16.30,15.87,18.58,-49.21,True,False,-41.57
Technology Services,Packaged Software,301236,软通动力,38.79,37.17,38.88,38.89,43.03,38.60,38.56,37.02,36.91,34.73,34.69,16.37,8.80,6.03,6.54,-69.55,True,False,-47.70
