Process Industries,Chemicals: Agricultural,300505,川金诺,19.18,19.16,20.42,18.99,17.07,18.98,16.55,19.02,-24.98,19.47,52.22
Producer Manufacturing,Electrical Products,601615,明阳智能,15.45,15.22,16.90,15.27,13.86,15.25,12.67,15.26,29.26,15.64,6.37
Technology Services,Packaged Software,603776,永安行,21.95,21.70,23.23,21.90,20.07,21.80,19.43,21.82,13.52,22.08,5.06
Electronic Technology,Computer Peripherals,600845,宝信软件,69.85,69.15,71.98,69.74,63.80,69.36,52.80,69.42,39.45,69.86,3.04
Electronic Technology,Electronic Components,300408,三环集团,27.71,27.44,29.27,27.69,25.45,27.57,23.65,27.62,16.80,27.90,5.71
Producer Manufacturing,Electrical Products,300443,金雷股份,26.45,26.10,28.18,26.36,22.55,26.31,18.42,26.39,42.66,26.62,4.93
Retail Trade,Specialty Stores,300755,华致酒行,32.47,32.07,35.66,31.67,31.26,31.46,26.48,31.35,-2.63,32.96,7.92
Producer Manufacturing,Electrical Products,601615,明阳智能,15.35,15.21,16.89,15.27,13.86,15.24,12.67,15.24,20.97,15.63,11.28
Producer Manufacturing,Electrical Products,601615,明阳智能,15.42,15.22,16.89,15.27,13.86,15.25,12.67,15.25,26.78,15.64,7.38
Process Industries,Chemicals: Agricultural,600486,扬农化工,91.78,91.26,93.71,91.78,87.69,91.12,77.79,91.15,56.18,91.87,3.69
Producer Manufacturing,Electrical Products,601615,明阳智能,15.50,15.23,16.90,15.27,13.86,15.26,12.67,15.26,33.37,15.65,5.15
Process Industries,Textiles,603306,华懋科技,17.13,17.04,17.73,17.09,15.94,16.82,15.00,16.82,34.61,17.22,7.08
Health Technology,Medical Specialties,603520,司太立,80.35,79.13,95.29,79.78,74.32,77.40,55.88,76.67,-14.48,83.17,12.25
Health Technology,Medical Specialties,603520,司太立,79.91,79.09,95.28,79.77,74.31,77.95,55.88,77.00,-19.46,83.14,18.71
Health Technology,Medical Specialties,603520,司太立,80.09,79.11,95.29,79.77,74.32,78.16,55.88,77.13,-17.42,83.15,15.44
Producer Manufacturing,Industrial Machinery,603013,亚普股份,15.85,15.56,16.93,15.77,15.57,15.66,14.97,15.88,32.85,15.91,3.80
Process Industries,Containers/Packaging,300566,激智科技,35.87,35.60,39.09,35.24,31.17,35.03,27.71,35.68,-5.53,36.47,11.86
